video_id,split,shard,temporal_distance,pairs,mean_motion_magnitude,median_motion_magnitude,p90_motion_magnitude,mean_motion_coverage,mean_dx,mean_dy,mean_direction
1heJXaiMZBw,train,Dataset_Shard_0000000_0099999,1,50,1.550573163330555,0.6273784339427948,3.9944915294647227,0.3090258290816326,-0.09545070280495566,-0.16889117901213468,7.598858022020148
1heJXaiMZBw,train,Dataset_Shard_0000000_0099999,2,50,1.5467246660590173,1.271345317363739,2.3134218215942384,0.3536021205357143,0.0711681655421853,0.11621485935058445,39.065295551888106
1heJXaiMZBw,train,Dataset_Shard_0000000_0099999,5,50,1.8135083612799645,1.2649610042572021,3.704645657539368,0.36110730229591836,0.12293991197599098,0.1572692643851042,23.31590239815914
1heJXaiMZBw,train,Dataset_Shard_0000000_0099999,10,50,2.2685856106877327,1.2606441974639893,5.095690393447881,0.40310546875,-0.0008992384746670723,0.2242360604275018,-9.4418416617606
1hla9mZZWKM,train,Dataset_Shard_0000000_0099999,1,50,3.9987236404418947,4.081279754638672,6.248107528686524,0.5703065210459184,0.06245300598442555,0.3222068777680397,21.315867010504043
1hla9mZZWKM,train,Dataset_Shard_0000000_0099999,2,50,4.8466572666168215,4.2007670402526855,7.730222749710084,0.627203443877551,-0.04992551058530807,-0.42783145561814306,-2.9585196878814135
1hla9mZZWKM,train,Dataset_Shard_0000000_0099999,5,50,5.390781733989716,4.452742576599121,10.111606979370118,0.6417195471938776,-0.0017904680967330932,0.3120713385939598,1.1918851814515277
1hla9mZZWKM,train,Dataset_Shard_0000000_0099999,10,50,5.019808962345123,4.305126190185547,8.478375148773194,0.6237627551020408,0.05324548751115799,0.5121613907068968,19.86971532168976
1jkQfyIl7Kg,train,Dataset_Shard_0000000_0099999,1,50,1.038178705573082,0.8143237829208374,2.005783545970917,0.2762663424744898,0.12605918216053397,-0.06427287710830569,-8.929535121357759
1jkQfyIl7Kg,train,Dataset_Shard_0000000_0099999,2,50,1.778183198571205,1.2467558979988098,3.6511969327926637,0.32552814094387755,-0.09018226911313831,0.03070249962620437,1.6673849016448434
